Houses,Price,Area
60,23865810.0,2018-05-27 17:45:20.858090.area
60,23757045.0,2018-05-27 17:45:26.448447.area
60,23359755.0,2018-05-27 17:45:39.849491.area
60,23842875.0,2018-05-27 17:46:02.621752.area
60,23779740.0,2018-05-27 17:46:26.967268.area
60,23608680.0,2018-05-27 17:46:46.150229.area
60,23552475.0,2018-05-27 17:46:52.497451.area
60,23440830.0,2018-05-27 17:47:00.782434.area
60,23815740.0,2018-05-27 17:47:09.775240.area
60,23333220.0,2018-05-27 17:47:19.085423.area
60,23071800.0,2018-05-27 17:47:21.693630.area
60,23509920.0,2018-05-27 17:47:26.193670.area
60,23262750.0,2018-05-27 17:47:28.361570.area
60,23553570.0,2018-05-27 17:47:35.641888.area
60,23116605.0,2018-05-27 17:47:50.122926.area
60,23389545.0,2018-05-27 17:48:04.753083.area
60,23820840.0,2018-05-27 17:48:13.990053.area
60,24521835.0,2018-05-27 17:48:17.533061.area
60,23265120.0,2018-05-27 17:49:03.383512.area
60,23982330.0,2018-05-27 17:49:12.566390.area
60,23663205.0,2018-05-27 17:49:33.120028.area
60,23676195.0,2018-05-27 17:50:02.121446.area
60,23389980.0,2018-05-27 17:50:09.519167.area
60,23756655.0,2018-05-27 17:50:23.469892.area
60,23220675.0,2018-05-27 17:50:28.075591.area
60,23658135.0,2018-05-27 17:50:36.117241.area
60,23419575.0,2018-05-27 17:50:39.182375.area
60,23924085.0,2018-05-27 17:50:47.024809.area
60,23375040.0,2018-05-27 17:50:50.265190.area
60,23615520.0,2018-05-27 17:51:23.788534.area
60,23307030.0,2018-05-27 17:51:32.167683.area
60,23480310.0,2018-05-27 17:52:03.322191.area
60,23628615.0,2018-05-27 17:52:11.272098.area
60,23851455.0,2018-05-27 17:52:15.045819.area
60,23531535.0,2018-05-27 17:52:43.193055.area
60,24081030.0,2018-05-27 17:52:47.323922.area
60,23960880.0,2018-05-27 17:53:24.569857.area
60,23747460.0,2018-05-27 17:54:06.126274.area
60,23704470.0,2018-05-27 17:54:13.823850.area
60,23451180.0,2018-05-27 17:54:35.634835.area
60,23400480.0,2018-05-27 17:54:47.672608.area
60,23220060.0,2018-05-27 17:54:51.261422.area
60,23319630.0,2018-05-27 17:55:11.546781.area
60,23422035.0,2018-05-27 17:55:21.767856.area
60,23614020.0,2018-05-27 17:56:05.516624.area
60,23361540.0,2018-05-27 17:56:31.979208.area
60,23363655.0,2018-05-27 17:56:43.950867.area
60,23347665.0,2018-05-27 17:56:52.890179.area
60,23208975.0,2018-05-27 17:57:15.233574.area
60,23549415.0,2018-05-27 17:57:22.093531.area
60,23022480.0,2018-05-27 17:57:24.438669.area
60,23441535.0,2018-05-27 17:57:34.223462.area
60,23515650.0,2018-05-27 17:57:37.425620.area
60,23550465.0,2018-05-27 17:57:44.756183.area
60,22934250.0,2018-05-27 17:57:56.907081.area
60,23404305.0,2018-05-27 17:58:07.161239.area
